Title,Location,Price,Surface Area
Apartment Willemsparkweg,1071 GN Amsterdam (Museumkwartier),"€5,400 per month",185 m²
Apartment Amstelveenseweg 224 3,1075 XT Amsterdam (Schinkelbuurt),"€2,950 per month",115 m²
Apartment Jacob Catskade 52 3,1052 CB Amsterdam (Staatsliedenbuurt),"€2,650 per month",90 m²
Apartment KNSM-laan 465,1019 LG Amsterdam (Oostelijk Havengebied),"€1,850 per month",86 m²
Apartment Esplanade de Meer,1098 WN Amsterdam (Middenmeer),"€1,750 per month",100 m²
House Adriënne Solserhof 2,1087 MT Amsterdam (IJburg Zuid),"€3,750 per month",176 m²
Apartment Prinseneiland,1013 LL Amsterdam (Haarlemmerbuurt),"€2,850 per month",73 m²
Apartment Kastanjeplein 182,1092 LC Amsterdam (Oosterparkbuurt),"€1,700 per month",97 m²
House Marius Meijboomstraat 34,1087 LD Amsterdam (IJburg Zuid),"€1,500 per month",120 m²
Studio Keizersgracht,1016 GB Amsterdam (Grachtengordel-West),"€1,120 per month",35 m²
Apartment Willem Augustinstraat,1061 MJ Amsterdam (De Kolenkit),"€1,650 per month",65 m²
Apartment Venetiëhof 67,1019 NB Amsterdam (Oostelijk Havengebied),"€2,400 per month",102 m²
Apartment Insulindeweg 116,1094 PT Amsterdam (Indische Buurt West),"€1,850 per month",110 m²
Apartment Prinsengracht 1069,1017 JG Amsterdam (Grachtengordel-Zuid),"€3,750 per month",142 m²
Apartment Anna Blamansingel 111,"1102 ST Amsterdam (Bijlmer Centrum (D,F,H))","€2,850 per month",102 m²
Apartment Burgemeester Hogguerstraat 393 E,1064 CS Amsterdam (Slotermeer-Zuidwest),"€1,700 per month",48 m²
Apartment Grote Bickersstraat 23 H,1013 KN Amsterdam (Haarlemmerbuurt),"€2,200 per month",62 m²
Apartment Herengracht 132 E,1015 BV Amsterdam (Grachtengordel-West),"€7,500 per month",162 m²
House Soetendaal,1081 BN Amsterdam (Buitenveldert-West),"€4,000 per month",170 m²
Apartment Singel,1016 AA Amsterdam (Grachtengordel-West),"€1,750 per month",47 m²
Apartment Gelrestraat,1079 MZ Amsterdam (Scheldebuurt),"€1,725 per month",55 m²
Apartment Eef Kamerbeekstraat 302,1095 MP Amsterdam (Zeeburgereiland/Nieuwe Diep),"€2,750 per month",122 m²
Apartment Keizersgracht,1017 EB Amsterdam (Grachtengordel-Zuid),"€2,450 per month",42 m²
Apartment Keizersgracht,1017 EB Amsterdam (Grachtengordel-Zuid),"€2,950 per month",84 m²
Apartment Keizersgracht,1017 EB Amsterdam (Grachtengordel-Zuid),"€2,750 per month",65 m²
Apartment Bentinckstraat,1051 GD Amsterdam (Staatsliedenbuurt),"€1,750 per month",45 m²
Apartment Maasstraat,1078 HK Amsterdam (Scheldebuurt),"€2,500 per month",102 m²
Apartment Rapenburgerstraat,1011 MK Amsterdam (Nieuwmarkt/Lastage),"€2,600 per month",90 m²
Apartment John Franklinstraat,1056 TA Amsterdam (Van Galenbuurt),"€1,400 per month",65 m²
Apartment Ferguutstraat,1055 SZ Amsterdam (Erasmuspark),"€2,050 per month",100 m²
Apartment Hofgeest 15,"1102 EA Amsterdam (Bijlmer Centrum (D,F,H))","€1,450 per month",90 m²
Apartment Zeeburgerkade 1204,1019 VK Amsterdam (Oostelijk Havengebied),"€2,300 per month",105 m²
